"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"Bafing"	NA	1.39e-05	4.65e-05	0.002109912	8.04e-05	7.29e-05	0.001479461	0.00013175	0.001671768	0.000537076	0.001045039	0.000236461	0.000103898	7.19e-05	0.001417593	0.000165871	2.18e-05	0.002169722	6.56e-05	1.47e-05	0.000119003	3.67e-05	8.9e-05	9.38e-06	0.000128543	0.000402364	0.000233206	0.000108169	0.000445912	4.02e-05	0.001161407	0.001010304	0.0015757	0.00247994	0.001010838
"Bateke"	1.39e-05	NA	8.47e-05	3e-05	0.00013608	0.00015227	4.96e-05	0.003078356	1.73e-05	9.24e-06	2.19e-05	0.00032848	0.00012915	0.000916499	4.38e-05	0.000213236	6.7e-05	5.99e-05	9.59e-05	0.000259505	0.002699102	0.001916644	8.42e-05	3.82e-05	0.00124888	9.26e-06	0.000275452	0.000202928	5.82e-06	9.76e-05	1.15e-05	2.88e-05	2.65e-05	3.8e-05	2.08e-05
"Bili-Uele"	4.65e-05	8.47e-05	NA	0.000144439	0.002399751	0.002052325	0.000212886	0.00121096	5.9e-05	3.33e-05	8.35e-05	0.000632209	0.002169557	0.001090498	0.000182935	0.001910639	0.000407901	0.000151925	0.000179422	0.000198437	0.0009861	0.000579114	0.000199419	5.39e-05	0.00127007	5.4e-05	0.003808475	0.002346586	3.05e-05	0.001914907	5.91e-05	0.000118803	0.000137011	0.000174391	7.07e-05
"Boe"	0.002109912	3e-05	0.000144439	NA	0.000441175	0.000306775	0.006467611	0.001208	0.004573633	0.001786355	0.003381412	0.002261787	0.000538666	0.000327564	0.006710939	0.001968568	6.35e-05	0.007323525	0.000573694	3.53e-05	0.001080052	0.000193609	0.0004247	3.96e-05	0.000499836	0.001272614	0.002618971	0.000546709	0.001379564	0.000162971	0.0038817	0.004273209	0.005604659	0.007546747	0.003570967
"Budongo"	8.04e-05	0.00013608	0.002399751	0.000441175	NA	0.005310991	0.000689161	0.002052353	0.000147878	9.33e-05	0.000204603	0.001289995	0.004968738	0.001533812	0.000565051	0.004602615	0.000864142	0.000512529	0.000446964	0.000234964	0.001708485	0.00094257	0.000440515	0.000107111	0.002155104	9.38e-05	0.010657924	0.005974199	6.35e-05	0.002887602	0.000131323	0.000371782	0.000368688	0.000487298	0.000255173
"Bwindi"	7.29e-05	0.00015227	0.002052325	0.000306775	0.005310991	NA	0.000568679	0.001912389	0.000147957	0.0001166	0.000174111	0.001215402	0.005671427	0.001554731	0.000418124	0.005637236	0.001125374	0.00036238	0.000431299	0.000230076	0.001657113	0.000948229	0.000388939	0.000104785	0.002091885	0.000106594	0.008389055	0.007566537	4.95e-05	0.002553616	0.000116547	0.000281464	0.000288891	0.000407682	0.000152987
"Comoe"	0.001479461	4.96e-05	0.000212886	0.006467611	0.000689161	0.000568679	NA	0.001521385	0.003131694	0.002447765	0.004298661	0.00272896	0.000776194	0.00049836	0.008706802	0.002434406	0.00010639	0.006349488	0.00069107	4.98e-05	0.001277445	0.000302326	0.000603053	6.75e-05	0.000804599	0.001899331	0.003179294	0.000825909	0.001432679	0.000225623	0.002631654	0.005686498	0.005418404	0.006922572	0.004892365
"Conkouati"	0.00013175	0.003078356	0.00121096	0.001208	0.002052353	0.001912389	0.001521385	NA	0.000304568	0.000192477	0.000410275	0.003569238	0.0021372	0.006476687	0.001358821	0.003167883	0.000528455	0.001171571	0.000995093	0.001579689	0.021344102	0.011344438	0.000876913	0.000296723	0.008890657	0.000171265	0.004479572	0.002746577	0.000105306	0.00107467	0.000227243	0.000909155	0.000858937	0.001166446	0.000530946
"Dindefelo"	0.001671768	1.73e-05	5.9e-05	0.004573633	0.000147878	0.000147957	0.003131694	0.000304568	NA	0.001150658	0.00199034	0.000460724	0.00018661	0.00013755	0.003017443	0.000390366	3.52e-05	0.004021099	0.000121725	8.52e-06	0.000243824	7.45e-05	0.000149925	2.56e-05	0.000198237	0.000748309	0.000493194	0.000197062	0.001055672	7.4e-05	0.002494386	0.002058657	0.003090894	0.004389554	0.002050037
"Djouroutou"	0.000537076	9.24e-06	3.33e-05	0.001786355	9.33e-05	0.0001166	0.002447765	0.000192477	0.001150658	NA	0.001764041	0.000272383	7.51e-05	8.7e-05	0.002945269	0.00024079	3.18e-05	0.001669074	0.000100856	1.1e-05	0.000154629	5.97e-05	9.21e-05	1.63e-05	0.000137502	0.000742512	0.000320871	0.000102548	0.00055249	4.08e-05	0.000962151	0.002097765	0.001577259	0.002066116	0.002330818
