"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"Bafing"	0	87	80.02631579	117	79.33333333	76	93.25	96.5	116.5	81.5	91.5	100	80	77	78	101.5	107	120.5	87.5	87	94	93	93.5	84	90	91.5	80	82.5	101.5	78	116	80	109.5	114.5	85.9
"Bateke"	87	0	50.02631579	87	49.33333333	46	63.25	66.5	86.5	51.5	61.5	70	50	47	48	71.5	77	90.5	57.5	57	64	63	63.5	54	60	61.5	50	52.5	71.5	48	86	50	79.5	84.5	55.9
"Bili-Uele"	80.02631579	50.02631579	0	80.02631579	42.35964912	39.02631579	56.27631579	59.52631579	79.52631579	44.52631579	54.52631579	63.02631579	43.02631579	40.02631579	41.02631579	64.52631579	70.02631579	83.52631579	50.52631579	50.02631579	57.02631579	56.02631579	56.52631579	47.02631579	53.02631579	54.52631579	43.02631579	45.52631579	64.52631579	41.02631579	79.02631579	43.02631579	72.52631579	77.52631579	48.92631579
"Boe"	117	87	80.02631579	0	79.33333333	76	93.25	96.5	116.5	81.5	91.5	100	80	77	78	101.5	107	120.5	87.5	87	94	93	93.5	84	90	91.5	80	82.5	101.5	78	116	80	109.5	114.5	85.9
"Budongo"	79.33333333	49.33333333	42.35964912	79.33333333	0	38.33333333	55.58333333	58.83333333	78.83333333	43.83333333	53.83333333	62.33333333	42.33333333	39.33333333	40.33333333	63.83333333	69.33333333	82.83333333	49.83333333	49.33333333	56.33333333	55.33333333	55.83333333	46.33333333	52.33333333	53.83333333	42.33333333	44.83333333	63.83333333	40.33333333	78.33333333	42.33333333	71.83333333	76.83333333	48.23333333
"Bwindi"	76	46	39.02631579	76	38.33333333	0	52.25	55.5	75.5	40.5	50.5	59	39	36	37	60.5	66	79.5	46.5	46	53	52	52.5	43	49	50.5	39	41.5	60.5	37	75	39	68.5	73.5	44.9
"Comoe"	93.25	63.25	56.27631579	93.25	55.58333333	52.25	0	72.75	92.75	57.75	67.75	76.25	56.25	53.25	54.25	77.75	83.25	96.75	63.75	63.25	70.25	69.25	69.75	60.25	66.25	67.75	56.25	58.75	77.75	54.25	92.25	56.25	85.75	90.75	62.15
"Conkouati"	96.5	66.5	59.52631579	96.5	58.83333333	55.5	72.75	0	96	61	71	79.5	59.5	56.5	57.5	81	86.5	100	67	66.5	73.5	72.5	73	63.5	69.5	71	59.5	62	81	57.5	95.5	59.5	89	94	65.4
"Dindefelo"	116.5	86.5	79.52631579	116.5	78.83333333	75.5	92.75	96	0	81	91	99.5	79.5	76.5	77.5	101	106.5	120	87	86.5	93.5	92.5	93	83.5	89.5	91	79.5	82	101	77.5	115.5	79.5	109	114	85.4
"Djouroutou"	81.5	51.5	44.52631579	81.5	43.83333333	40.5	57.75	61	81	0	56	64.5	44.5	41.5	42.5	66	71.5	85	52	51.5	58.5	57.5	58	48.5	54.5	56	44.5	47	66	42.5	80.5	44.5	74	79	50.4
"East Nimba"	91.5	61.5	54.52631579	91.5	53.83333333	50.5	67.75	71	91	56	0	74.5	54.5	51.5	52.5	76	81.5	95	62	61.5	68.5	67.5	68	58.5	64.5	66	54.5	57	76	52.5	90.5	54.5	84	89	60.4
"Gashaka"	100	70	63.02631579	100	62.33333333	59	76.25	79.5	99.5	64.5	74.5	0	63	60	61	84.5	90	103.5	70.5	70	77	76	76.5	67	73	74.5	63	65.5	84.5	61	99	63	92.5	97.5	68.9
"Gishwati"	80	50	43.02631579	80	42.33333333	39	56.25	59.5	79.5	44.5	54.5	63	0	40	41	64.5	70	83.5	50.5	50	57	56	56.5	47	53	54.5	43	45.5	64.5	41	79	43	72.5	77.5	48.9
"Goualougo"	77	47	40.02631579	77	39.33333333	36	53.25	56.5	76.5	41.5	51.5	60	40	0	38	61.5	67	80.5	47.5	47	54	53	53.5	44	50	51.5	40	42.5	61.5	38	76	40	69.5	74.5	45.9
"Grebo"	78	48	41.02631579	78	40.33333333	37	54.25	57.5	77.5	42.5	52.5	61	41	38	0	62.5	68	81.5	48.5	48	55	54	54.5	45	51	52.5	41	43.5	62.5	39	77	41	70.5	75.5	46.9
"Issa-Ugalla"	101.5	71.5	64.52631579	101.5	63.83333333	60.5	77.75	81	101	66	76	84.5	64.5	61.5	62.5	0	91.5	105	72	71.5	78.5	77.5	78	68.5	74.5	76	64.5	67	86	62.5	100.5	64.5	94	99	70.4
"Kabogo"	107	77	70.02631579	107	69.33333333	66	83.25	86.5	106.5	71.5	81.5	90	70	67	68	91.5	0	110.5	77.5	77	84	83	83.5	74	80	81.5	70	72.5	91.5	68	106	70	99.5	104.5	75.9
"Kayan"	120.5	90.5	83.52631579	120.5	82.83333333	79.5	96.75	100	120	85	95	103.5	83.5	80.5	81.5	105	110.5	0	91	90.5	97.5	96.5	97	87.5	93.5	95	83.5	86	105	81.5	119.5	83.5	113	118	89.4
