"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"Bafing"	NA	3.15035094295186e-07	2.5032789612515e-07	2.41289527851087e-06	2.08845637163493e-07	2.12673470098631e-07	1.15419216427635e-06	3.2919383281163e-07	4.46392292688524e-06	1.09912589792733e-06	1.54429832707889e-06	4.01467752614241e-07	2.13150910440031e-07	3.11535228261708e-07	1.12462808744552e-06	2.01082671451103e-07	2.06796028673762e-07	5.07649904336218e-06	4.36375604289882e-07	3.5738775493207e-07	3.62341090160608e-07	3.5260411605659e-07	4.41206547249261e-07	4.24689374366687e-07	3.72806725144024e-07	1.54197906908822e-06	2.12021670170082e-07	2.12633789938137e-07	2.43370786518713e-06	2.44999748739283e-07	2.25045118626324e-06	1.15225644859927e-06	4.17851260190408e-06	6.00255299143219e-06	1.16565549013662e-06
"Bateke"	3.15035094295186e-07	NA	7.20869987827108e-07	2.88281847064137e-07	5.01245435762444e-07	5.69268653604252e-07	4.33247250512868e-07	2.67143640666378e-06	3.00420488704247e-07	3.99849405837858e-07	3.67494338174592e-07	9.29730724089303e-07	5.85262130135008e-07	1.80823080482792e-06	3.94246102868107e-07	5.32973811371892e-07	5.78101837464664e-07	2.97956342179368e-07	1.01874699036861e-06	1.62900224246331e-06	1.98245968282547e-06	2.94200727959925e-06	9.32470442095016e-07	1.11760407874875e-06	2.03283815366408e-06	3.82126723482374e-07	5.40123202232059e-07	5.909167704903e-07	3.14389645151731e-07	7.52890452416157e-07	2.91793036723278e-07	3.75429137419747e-07	3.15392389785189e-07	3.14555786617542e-07	3.95105954350803e-07
"Bili-Uele"	2.5032789612515e-07	7.20869987827108e-07	NA	2.29125401053054e-07	1.2584176202705e-06	1.25102598799295e-06	3.13006778221567e-07	5.67846506755419e-07	2.38524734990093e-07	2.81384828239987e-07	2.69226922154085e-07	6.64025695260485e-07	1.19684070738811e-06	1.06550918273128e-06	2.78654338873878e-07	8.0196650013025e-07	8.54248680430745e-07	2.3859167898292e-07	5.64366032017405e-07	7.6632256918592e-07	5.43211845867222e-07	6.46180263653269e-07	5.68595299067973e-07	5.74900132157755e-07	5.99256567815129e-07	2.79428899705156e-07	1.33543443304459e-06	1.13155568480496e-06	2.4224295073619e-07	5.05326220224009e-06	2.30053145669934e-07	2.68214550432085e-07	2.4587298609245e-07	2.4675929159318e-07	2.80190077283543e-07
"Boe"	2.41289527851087e-06	2.88281847064137e-07	2.29125401053054e-07	NA	1.93983006097025e-07	1.97923442775715e-07	8.45458050047254e-07	3.03168270500488e-07	5.25049264532412e-06	9.62664518921051e-07	1.28735491179777e-06	3.49834571679558e-07	1.98528075840088e-07	2.81681647230917e-07	9.91938591446585e-07	1.88644059535407e-07	1.93771419888775e-07	4.03986454465073e-06	3.80013117368788e-07	3.18781824680916e-07	3.30337893619766e-07	3.18937192580526e-07	3.81924024186906e-07	3.72062352719746e-07	3.35588652172014e-07	1.16886481062757e-06	1.97010347565423e-07	1.98228125176861e-07	3.13849468662438e-06	2.25108723703584e-07	1.12299538710363e-05	1.07649377764695e-06	3.32061093828669e-06	3.19497170037362e-06	1.0060171536836e-06
"Budongo"	2.08845637163493e-07	5.01245435762444e-07	1.2584176202705e-06	1.93983006097025e-07	NA	2.73752443674457e-06	2.51165467357546e-07	4.25946021791046e-07	2.00621519327859e-07	2.31379909664591e-07	2.22581284563366e-07	4.35176930080292e-07	2.16955406129718e-06	6.02009093979474e-07	2.29510498500913e-07	1.23976297415532e-06	1.2021555839273e-06	2.00619366311528e-07	3.92833026977914e-07	4.85720837352861e-07	4.01555494597111e-07	4.48679124887171e-07	3.93394732959165e-07	3.99164323144651e-07	4.22364000487634e-07	2.29344582709579e-07	5.45744770638271e-06	1.88571477644192e-06	2.03508211303976e-07	1.385096095832e-06	1.94714570155694e-07	2.22447158119146e-07	2.05892222935947e-07	2.06452363867706e-07	2.30429032241176e-07
"Bwindi"	2.12673470098631e-07	5.69268653604252e-07	1.25102598799295e-06	1.97923442775715e-07	2.73752443674457e-06	NA	2.58358615775685e-07	4.78599753732094e-07	2.0454129919134e-07	2.39692513335578e-07	2.29368539083485e-07	4.50063288979848e-07	1.04236814394466e-05	6.63385834088486e-07	2.37665856020754e-07	2.00242909988423e-06	2.0524565566003e-06	2.04229568258086e-07	4.12900351892137e-07	5.21062352178128e-07	4.42419343831245e-07	4.94016709948236e-07	4.10459018216392e-07	4.21873639958486e-07	4.60462246648365e-07	2.36152447110817e-07	5.37506469347239e-06	5.97832105468789e-06	2.08517657034151e-07	1.54441179762625e-06	1.98945726434436e-07	2.30248703858151e-07	2.10442601146789e-07	2.10767068977773e-07	2.38439006113022e-07
"Comoe"	1.15419216427635e-06	4.33247250512868e-07	3.13006778221567e-07	8.45458050047254e-07	2.51165467357546e-07	2.58358615775685e-07	NA	4.59446242519731e-07	9.73578225084161e-07	1.8469602924393e-06	1.78850793159029e-06	5.90625825742893e-07	2.59441372362544e-07	4.22416837873091e-07	1.7823245463141e-06	2.42680230650426e-07	2.51171879766869e-07	9.53411903003999e-07	6.90146761572245e-07	5.11727884562623e-07	5.27102511055535e-07	5.07518312073998e-07	6.94445224248561e-07	6.64422005952106e-07	5.50558651588488e-07	2.45992560473069e-06	2.56586780944275e-07	2.58939665106661e-07	1.07136970999407e-06	3.06263492005543e-07	8.64831976193016e-07	1.46454658799094e-06	1.13408378541011e-06	1.1373520229299e-06	1.93011171705879e-06
"Conkouati"	3.2919383281163e-07	2.67143640666378e-06	5.67846506755419e-07	3.03168270500488e-07	4.25946021791046e-07	4.78599753732094e-07	4.59446242519731e-07	NA	3.15176258329187e-07	4.36090460672409e-07	3.94998275716002e-07	8.01789415014916e-07	4.91717046511906e-07	1.10389386162962e-06	4.2957095137683e-07	4.64004354142619e-07	4.9821700464907e-07	3.11529573404427e-07	9.65260574997655e-07	1.19396119035073e-06	3.55224161914404e-06	2.40277982846026e-06	8.68506360868935e-07	1.0575118522124e-06	2.06898912098272e-06	4.09291221628581e-07	4.55176070162831e-07	4.97509674775871e-07	3.33602755477895e-07	5.89356137860872e-07	3.07800032968462e-07	4.08790880777406e-07	3.32597835902624e-07	3.30762910915368e-07	4.29451465053532e-07
"Dindefelo"	4.46392292688524e-06	3.00420488704247e-07	2.38524734990093e-07	5.25049264532412e-06	2.00621519327859e-07	2.0454129919134e-07	9.73578225084161e-07	3.15176258329187e-07	NA	1.04469937148362e-06	1.45440533935633e-06	3.72201740926076e-07	2.05098362706395e-07	2.94953193588655e-07	1.07497487214525e-06	1.94271362130267e-07	1.99665509795651e-07	1.06980261759251e-05	4.04683346301047e-07	3.35856471194291e-07	3.45034275539316e-07	3.34134304048552e-07	4.07678119524729e-07	3.95220907528744e-07	3.52380203479052e-07	1.35718022620852e-06	2.03727427989057e-07	2.04708921281443e-07	3.36672806726879e-06	2.33961947620734e-07	4.38980269921584e-06	1.14305264418031e-06	5.61193188215083e-06	6.67631264323148e-06	1.10086400292971e-06
"Djouroutou"	1.09912589792733e-06	3.99849405837858e-07	2.81384828239987e-07	9.62664518921051e-07	2.31379909664591e-07	2.39692513335578e-07	1.8469602924393e-06	4.36090460672409e-07	1.04469937148362e-06	NA	3.70527965520387e-06	4.7874692435322e-07	2.41280364678478e-07	3.74720397176401e-07	2.80137875020934e-05	2.28943018265725e-07	2.36772920247016e-07	9.77857195340834e-07	5.61144970028105e-07	4.41764834238165e-07	4.92200497157842e-07	4.58558825374936e-07	5.53776357032784e-07	5.50336398737159e-07	4.93684034056619e-07	3.47866712222642e-06	2.3696057764498e-07	2.4136526330265e-07	1.38364691143287e-06	2.77782390971674e-07	1.02475473261479e-06	5.71561892649224e-06	1.28362362422549e-06	1.2171900512235e-06	1.91054326472356e-05
