"site1"	"site2"	"ibd_binary"	"ibd_source_fontsere_etal_2022"	"nepra_proportion"
"1"	"Bafing"	"Bakoun-Sobory"	1	"tableS9"	0.00247994
"2"	"Conkouati"	"Bakoun-Sobory"	0	"0"	0.001166446
"3"	"Goualougo"	"Bakoun-Sobory"	0	"0"	0.00036778
"4"	"Kabogo"	"Bakoun-Sobory"	0	"0"	8.49e-05
"5"	"Sobeya"	"Bakoun-Sobory"	1	"tableS9"	0.005654698
"6"	"Sangaredi"	"Bakoun-Sobory"	1	"tableS9"	0.003138207
"7"	"Korup"	"Bakoun-Sobory"	0	"0"	0.000555256
"8"	"Djouroutou"	"Bakoun-Sobory"	1	"tableS9"	0.002066116
"9"	"La Belgique"	"Bakoun-Sobory"	0	"0"	4.62e-05
"10"	"Boe"	"Bakoun-Sobory"	1	"tableS9"	0.007546747
"11"	"Loango"	"Bakoun-Sobory"	0	"0"	0.001044725
"12"	"Kayan"	"Bakoun-Sobory"	1	"tableS9"	0.007289108
"13"	"Lope"	"Bakoun-Sobory"	0	"0"	0.000200491
"14"	"Bwindi"	"Bakoun-Sobory"	0	"0"	0.000407682
"15"	"Mt. Sangbe"	"Bakoun-Sobory"	0	"0"	0.001368629
"16"	"Mbe"	"Bakoun-Sobory"	0	"0"	0.000416129
"17"	"Sapo"	"Bakoun-Sobory"	1	"tableS9"	0.004481022
"18"	"Issa-Ugalla"	"Bakoun-Sobory"	0	"0"	0.001865929
"19"	"Mt. Cristal"	"Bakoun-Sobory"	0	"0"	0.000582297
"20"	"Dindefelo"	"Bakoun-Sobory"	1	"tableS9"	0.004389554
"21"	"Gashaka"	"Bakoun-Sobory"	0	"0"	0.002049795
"22"	"Bateke"	"Bakoun-Sobory"	0	"0"	3.8e-05
"23"	"East Nimba"	"Bakoun-Sobory"	1	"tableS9"	0.003545594
"24"	"Nyungwe"	"Bakoun-Sobory"	0	"0"	0.000556621
"25"	"Budongo"	"Bakoun-Sobory"	0	"0"	0.000487298
"26"	"Grebo"	"Bakoun-Sobory"	1	"tableS9"	0.006961073
"27"	"Outamba-Kilimi"	"Bakoun-Sobory"	NA	"0"	0.001473168
"28"	"Comoe"	"Bakoun-Sobory"	1	"tableS9"	0.006922572
"29"	"Gishwati"	"Bakoun-Sobory"	0	"0"	0.000573907
"30"	"Ngogo"	"Bakoun-Sobory"	0	"0"	0.002480256
"31"	"Mt. Cameroon"	"Bakoun-Sobory"	0	"0"	3.26e-05
"32"	"Rubi-Tele"	"Bakoun-Sobory"	0	"0"	0.000184959
"33"	"Bili-Uele"	"Bakoun-Sobory"	0	"0"	0.000174391
"34"	"Bafing"	"Bateke"	0	"0"	1.39e-05
"35"	"Bafing"	"Bili-Uele"	0	"0"	4.65e-05
"36"	"Bateke"	"Bili-Uele"	0	"0"	8.47e-05
"37"	"Bili-Uele"	"Boe"	0	"0"	0.000144439
"38"	"Bateke"	"Boe"	0	"0"	3e-05
"39"	"Bafing"	"Boe"	1	"tableS9"	0.002109912
"40"	"Bili-Uele"	"Budongo"	1	"tableS9"	0.002399751
"41"	"Boe"	"Budongo"	0	"0"	0.000441175
"42"	"Bafing"	"Budongo"	0	"0"	8.04e-05
"43"	"Bateke"	"Budongo"	0	"0"	0.00013608
"44"	"Budongo"	"Bwindi"	1	"tableS9"	0.005310991
"45"	"Bafing"	"Bwindi"	0	"0"	7.29e-05
"46"	"Bateke"	"Bwindi"	0	"0"	0.00015227
"47"	"Boe"	"Bwindi"	0	"0"	0.000306775
"48"	"Bili-Uele"	"Bwindi"	0	"0"	0.002052325
"49"	"Bateke"	"Comoe"	0	"0"	4.96e-05
"50"	"Bili-Uele"	"Comoe"	0	"0"	0.000212886
"51"	"Budongo"	"Comoe"	0	"0"	0.000689161
"52"	"Bafing"	"Comoe"	1	"tableS9"	0.001479461
"53"	"Boe"	"Comoe"	1	"tableS9"	0.006467611
"54"	"Bwindi"	"Comoe"	0	"0"	0.000568679
"55"	"Bwindi"	"Conkouati"	1	"fig3"	0.001912389
"56"	"Bili-Uele"	"Conkouati"	0	"0"	0.00121096
"57"	"Boe"	"Conkouati"	0	"0"	0.001208
"58"	"Bafing"	"Conkouati"	0	"0"	0.00013175
"59"	"Comoe"	"Conkouati"	0	"0"	0.001521385
"60"	"Bateke"	"Conkouati"	1	"tableS9"	0.003078356
"61"	"Budongo"	"Conkouati"	0	"0"	0.002052353
"62"	"Conkouati"	"Dindefelo"	0	"0"	0.000304568
"63"	"Bili-Uele"	"Dindefelo"	0	"0"	5.9e-05
"64"	"Budongo"	"Dindefelo"	0	"0"	0.000147878
"65"	"Bafing"	"Dindefelo"	1	"tableS9"	0.001671768
"66"	"Comoe"	"Dindefelo"	1	"tableS9"	0.003131694
"67"	"Boe"	"Dindefelo"	1	"tableS9"	0.004573633
"68"	"Bwindi"	"Dindefelo"	0	"0"	0.000147957
"69"	"Bateke"	"Dindefelo"	0	"0"	1.73e-05
"70"	"Bwindi"	"Djouroutou"	0	"0"	0.0001166
"71"	"Bateke"	"Djouroutou"	0	"0"	9.24e-06
"72"	"Bili-Uele"	"Djouroutou"	0	"0"	3.33e-05
