"site1"	"site2"	"dyad_ID"	"behavior"	"behavioral_class"	"shared"	"nepra_binary"	"nepra_proportion"	"ibd_binary"	"same_subspecies"	"distance"	"same_habitat"	"mean_refugia_distance"	"mean_annual_precipitation"	"min_observation_time"
"1"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Algae fishing"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"2"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Ant dipping"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"3"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Ant eating"	"non-tool"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"4"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Ant fishing"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"5"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Honey above-ground"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"6"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Honey eating"	"non-tool"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"7"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Honey toolset"	"complex"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"8"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Honey underground "	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"9"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Leaf sponge"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"10"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Marrow pick"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"11"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Nut cracking"	"complex"	NA	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"12"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Termite eating"	"non-tool"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"13"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Termite fishing"	"simple"	1	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"14"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Underground toolset"	"complex"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"15"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	"Water dipping"	"simple"	0	1	0.00247994	1	1	166595.780377293	1	500.9839745	114.5	14
"16"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Honey eating"	"non-tool"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"17"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Ant fishing"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"18"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Ant eating"	"non-tool"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"19"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Marrow pick"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"20"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Ant dipping"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"21"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Leaf sponge"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"22"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Honey toolset"	"complex"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"23"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Honey above-ground"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"24"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Termite eating"	"non-tool"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"25"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Nut cracking"	"complex"	NA	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"26"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Termite fishing"	"simple"	1	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"27"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Underground toolset"	"complex"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"28"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Algae fishing"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"29"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Honey underground "	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"30"	"Bafing"	"Bateke"	"Bafing_Bateke"	"Water dipping"	"simple"	0	0	1.39e-05	0	0	3174249.52977674	1	382.4152751	87	20
"31"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Termite eating"	"non-tool"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"32"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Ant fishing"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"33"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Honey eating"	"non-tool"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"34"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Honey above-ground"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"35"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Leaf sponge"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
