"site"	"habitat"	"refugia_distance"	"annual_precipitation"	"observation_time"	"behavior"	"behavioral_class"	"presence"
"1"	"Bafing"	"savannah"	536.2006924	117	20	"Underground toolset"	"complex"	0
"2"	"Bafing"	"savannah"	536.2006924	117	20	"Algae fishing"	"simple"	0
"3"	"Bafing"	"savannah"	536.2006924	117	20	"Honey underground "	"simple"	0
"4"	"Bafing"	"savannah"	536.2006924	117	20	"Honey above-ground"	"simple"	0
"5"	"Bafing"	"savannah"	536.2006924	117	20	"Termite fishing"	"simple"	1
"6"	"Bafing"	"savannah"	536.2006924	117	20	"Honey toolset"	"complex"	0
"7"	"Bafing"	"savannah"	536.2006924	117	20	"Honey eating"	"non-tool"	0
"8"	"Bafing"	"savannah"	536.2006924	117	20	"Termite eating"	"non-tool"	0
"9"	"Bafing"	"savannah"	536.2006924	117	20	"Water dipping"	"simple"	0
"10"	"Bafing"	"savannah"	536.2006924	117	20	"Marrow pick"	"simple"	0
"11"	"Bafing"	"savannah"	536.2006924	117	20	"Leaf sponge"	"simple"	0
"12"	"Bafing"	"savannah"	536.2006924	117	20	"Ant dipping"	"simple"	0
"13"	"Bafing"	"savannah"	536.2006924	117	20	"Nut cracking"	"complex"	0
"14"	"Bafing"	"savannah"	536.2006924	117	20	"Ant fishing"	"simple"	0
"15"	"Bafing"	"savannah"	536.2006924	117	20	"Ant eating"	"non-tool"	0
"496"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Ant dipping"	"simple"	1
"497"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Leaf sponge"	"simple"	0
"498"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Marrow pick"	"simple"	0
"499"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Nut cracking"	"complex"	NA
"500"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Ant fishing"	"simple"	0
"501"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Honey above-ground"	"simple"	0
"502"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Honey toolset"	"complex"	0
"503"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Honey underground "	"simple"	0
"504"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Water dipping"	"simple"	0
"505"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Termite fishing"	"simple"	1
"506"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Honey eating"	"non-tool"	1
"507"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Ant eating"	"non-tool"	0
"508"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Algae fishing"	"simple"	1
"509"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Termite eating"	"non-tool"	0
"510"	"Bakoun-Sobory"	"savannah"	465.7672566	112	14	"Underground toolset"	"complex"	0
"163"	"Bateke"	"savannah"	228.6298578	57	23	"Algae fishing"	"simple"	0
"164"	"Bateke"	"savannah"	228.6298578	57	23	"Ant dipping"	"simple"	0
"165"	"Bateke"	"savannah"	228.6298578	57	23	"Ant eating"	"non-tool"	0
"166"	"Bateke"	"savannah"	228.6298578	57	23	"Ant fishing"	"simple"	0
"167"	"Bateke"	"savannah"	228.6298578	57	23	"Honey above-ground"	"simple"	1
"169"	"Bateke"	"savannah"	228.6298578	57	23	"Honey underground "	"simple"	0
