"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"Bafing"	0	382.4152751	371.4295925	571.1037425	301.9840551	288.3310953	417.5847358	285.1196764	550.2655842	273.9512697	268.1003462	414.4588155	290.2538095	341.4633327	268.1003462	395.9047151	453.9568796	592.4907471	268.1003462	365.2834439	360.0793024	298.4051628	282.4555887	293.7443072	269.9400248	323.0134613	302.4842587	285.9007242	416.1198591	336.3689525	543.4116405	268.1003462	466.2827968	500.9839745	291.1149228
"Bateke"	382.4152751	0	217.6441752	417.3183252	148.1986378	134.545678	263.7993185	131.3342591	396.4801669	120.1658524	114.3149289	260.6733982	136.4683922	187.6779154	114.3149289	242.1192978	300.1714623	438.7053298	114.3149289	211.4980266	206.2938851	144.6197455	128.6701714	139.9588899	116.1546075	169.228044	148.6988414	132.1153069	262.3344418	182.5835352	389.6262232	114.3149289	312.4973795	347.1985572	137.3295055
"Bili-Uele"	371.4295925	217.6441752	0	406.3326426	137.2129552	123.5599954	252.8136359	120.3485765	385.4944842	109.1801698	103.3292463	249.6877155	125.4827096	176.6922328	103.3292463	231.1336152	289.1857796	427.7196471	103.3292463	200.5123439	195.3082025	133.6340629	117.6844888	128.9732073	105.1689249	158.2423614	137.7131588	121.1296243	251.3487592	171.5978526	378.6405405	103.3292463	301.5116968	336.2128746	126.3438229
"Boe"	571.1037425	417.3183252	406.3326426	0	336.8871052	323.2341454	452.4877859	320.0227265	585.1686343	308.8543198	303.0033963	449.3618656	325.1568596	376.3663828	303.0033963	430.8077652	488.8599297	627.3937972	303.0033963	400.186494	394.9823525	333.3082129	317.3586388	328.6473573	304.8430749	357.9165114	337.3873088	320.8037743	451.0229092	371.2720026	578.3146906	303.0033963	501.1858469	535.8870246	326.0179729
"Budongo"	301.9840551	148.1986378	137.2129552	336.8871052	0	54.11445802	183.3680985	50.90303908	316.0489469	39.73463245	33.88370891	180.2421782	56.03717225	107.2466954	33.88370891	161.6880778	219.7402423	358.2741098	33.88370891	131.0668066	125.8626651	64.18852556	48.23895142	59.5276699	35.72338749	88.79682401	68.26762144	51.68408689	181.9032218	102.1523152	309.1950032	33.88370891	232.0661595	266.7673372	56.89828554
"Bwindi"	288.3310953	134.545678	123.5599954	323.2341454	54.11445802	0	169.7151387	37.25007928	302.3959871	26.08167265	20.23074911	166.5892184	42.38421245	93.59373561	20.23074911	148.035118	206.0872825	344.62115	20.23074911	117.4138468	112.2097053	50.53556576	34.58599162	45.8747101	22.07042769	75.14386421	54.61466164	38.03112709	168.250262	88.49935541	295.5420434	20.23074911	218.4131997	253.1143774	43.24532574
"Comoe"	417.5847358	263.7993185	252.8136359	452.4877859	183.3680985	169.7151387	0	166.5037198	431.6496276	155.3353132	149.4843896	295.8428589	171.637853	222.8473761	149.4843896	277.2887585	335.340923	473.8747905	149.4843896	246.6674873	241.4633458	179.7892063	163.8396321	175.1283506	151.3240682	204.3975047	183.8683022	167.2847676	297.5039025	217.7529959	424.7956839	149.4843896	347.6668402	382.3680179	172.4989663
"Conkouati"	285.1196764	131.3342591	120.3485765	320.0227265	50.90303908	37.25007928	166.5037198	0	299.1845681	22.87025371	17.01933017	163.3777994	39.17279351	90.38231667	17.01933017	144.8236991	202.8758635	341.409731	17.01933017	114.2024278	108.9982864	47.32414681	31.37457267	42.66329116	18.85900874	71.93244527	51.40324269	34.81970815	165.0388431	85.28793647	292.3306244	17.01933017	215.2017807	249.9029585	40.03390679
"Dindefelo"	550.2655842	396.4801669	385.4944842	585.1686343	316.0489469	302.3959871	431.6496276	299.1845681	0	288.0161615	282.165238	428.5237072	304.3187013	355.5282245	282.165238	409.9696069	468.0217713	606.5556388	282.165238	379.3483356	374.1441942	312.4700546	296.5204805	307.8091989	284.0049165	337.0783531	316.5491505	299.9656159	430.1847509	350.4338443	557.4765322	282.165238	480.3476885	515.0488663	305.1798146
"Djouroutou"	273.9512697	120.1658524	109.1801698	308.8543198	39.73463245	26.08167265	155.3353132	22.87025371	288.0161615	0	5.85092354	152.2093928	28.00438688	79.21391004	5.85092354	133.6552924	191.7074569	330.2413244	5.85092354	103.0340212	97.82987974	36.15574019	20.20616605	31.49488453	7.690602117	60.76403864	40.23483607	23.65130152	153.8704364	74.11952984	281.1622178	5.85092354	204.0333741	238.7345518	28.86550017
"East Nimba"	268.1003462	114.3149289	103.3292463	303.0033963	33.88370891	20.23074911	149.4843896	17.01933017	282.165238	5.85092354	0	146.3584693	22.15346334	73.3629865	0	127.8043689	185.8565334	324.3904009	0	97.18309765	91.9789562	30.30481665	14.35524251	25.64396099	1.839678577	54.9131151	34.38391253	17.80037798	148.0195129	68.2686063	275.3112943	0	198.1824506	232.8836283	23.01457663
"Gashaka"	414.4588155	260.6733982	249.6877155	449.3618656	180.2421782	166.5892184	295.8428589	163.3777994	428.5237072	152.2093928	146.3584693	0	168.5119326	219.7214558	146.3584693	274.1628382	332.2150026	470.7488701	146.3584693	243.5415669	238.3374255	176.6632859	160.7137118	172.0024302	148.1981478	201.2715844	180.7423818	164.1588472	294.3779822	214.6270756	421.6697635	146.3584693	344.5409198	379.2420976	169.3730459
"Gishwati"	290.2538095	136.4683922	125.4827096	325.1568596	56.03717225	42.38421245	171.637853	39.17279351	304.3187013	28.00438688	22.15346334	168.5119326	0	95.51644984	22.15346334	149.9578322	208.0099967	346.5438642	22.15346334	119.336561	114.1324195	52.45827999	36.50870585	47.79742433	23.99314192	77.06657844	56.53737587	39.95384132	170.1729762	90.42206964	297.4647576	22.15346334	220.3359139	255.0370916	45.16803997
"Goualougo"	341.4633327	187.6779154	176.6922328	376.3663828	107.2466954	93.59373561	222.8473761	90.38231667	355.5282245	79.21391004	73.3629865	219.7214558	95.51644984	0	73.3629865	201.1673554	259.2195199	397.7533874	73.3629865	170.5460842	165.3419427	103.6678031	87.71822901	99.00694749	75.20266508	128.2761016	107.746899	91.16336448	221.3824994	141.6315928	348.6742808	73.3629865	271.5454371	306.2466148	96.37756313
"Grebo"	268.1003462	114.3149289	103.3292463	303.0033963	33.88370891	20.23074911	149.4843896	17.01933017	282.165238	5.85092354	0	146.3584693	22.15346334	73.3629865	0	127.8043689	185.8565334	324.3904009	0	97.18309765	91.9789562	30.30481665	14.35524251	25.64396099	1.839678577	54.9131151	34.38391253	17.80037798	148.0195129	68.2686063	275.3112943	0	198.1824506	232.8836283	23.01457663
"Issa-Ugalla"	395.9047151	242.1192978	231.1336152	430.8077652	161.6880778	148.035118	277.2887585	144.8236991	409.9696069	133.6552924	127.8043689	274.1628382	149.9578322	201.1673554	127.8043689	0	313.6609023	452.1947698	127.8043689	224.9874666	219.7833251	158.1091855	142.1596114	153.4483299	129.6440475	182.717484	162.1882814	145.6047469	275.8238818	196.0729752	403.1156632	127.8043689	325.9868195	360.6879972	150.8189455
"Kabogo"	453.9568796	300.1714623	289.1857796	488.8599297	219.7402423	206.0872825	335.340923	202.8758635	468.0217713	191.7074569	185.8565334	332.2150026	208.0099967	259.2195199	185.8565334	313.6609023	0	510.2469342	185.8565334	283.039631	277.8354896	216.16135	200.2117759	211.5004943	187.6962119	240.7696485	220.2404459	203.6569113	333.8760463	254.1251397	461.1678276	185.8565334	384.0389839	418.7401617	208.87111
"Kayan"	592.4907471	438.7053298	427.7196471	627.3937972	358.2741098	344.62115	473.8747905	341.409731	606.5556388	330.2413244	324.3904009	470.7488701	346.5438642	397.7533874	324.3904009	452.1947698	510.2469342	0	324.3904009	421.5734985	416.3693571	354.6952175	338.7456434	350.0343618	326.2300794	379.303516	358.7743134	342.1907788	472.4099138	392.6590072	599.7016951	324.3904009	522.5728514	557.2740292	347.4049775
"Korup"	268.1003462	114.3149289	103.3292463	303.0033963	33.88370891	20.23074911	149.4843896	17.01933017	282.165238	5.85092354	0	146.3584693	22.15346334	73.3629865	0	127.8043689	185.8565334	324.3904009	0	97.18309765	91.9789562	30.30481665	14.35524251	25.64396099	1.839678577	54.9131151	34.38391253	17.80037798	148.0195129	68.2686063	275.3112943	0	198.1824506	232.8836283	23.01457663
"La Belgique"	365.2834439	211.4980266	200.5123439	400.186494	131.0668066	117.4138468	246.6674873	114.2024278	379.3483356	103.0340212	97.18309765	243.5415669	119.336561	170.5460842	97.18309765	224.9874666	283.039631	421.5734985	97.18309765	0	189.1620539	127.4879143	111.5383402	122.8270586	99.02277623	152.0962128	131.5670102	114.9834756	245.2026106	165.451704	372.4943919	97.18309765	295.3655482	330.066726	120.1976743
"Loango"	360.0793024	206.2938851	195.3082025	394.9823525	125.8626651	112.2097053	241.4633458	108.9982864	374.1441942	97.82987974	91.9789562	238.3374255	114.1324195	165.3419427	91.9789562	219.7833251	277.8354896	416.3693571	91.9789562	189.1620539	0	122.2837728	106.3341987	117.6229172	93.81863478	146.8920713	126.3628687	109.7793342	239.9984691	160.2475625	367.2902505	91.9789562	290.1614068	324.8625845	114.9935328
"Lope"	298.4051628	144.6197455	133.6340629	333.3082129	64.18852556	50.53556576	179.7892063	47.32414681	312.4700546	36.15574019	30.30481665	176.6632859	52.45827999	103.6678031	30.30481665	158.1091855	216.16135	354.6952175	30.30481665	127.4879143	122.2837728	0	44.66005915	55.94877764	32.14449522	85.21793175	64.68872917	48.10519463	178.3243295	98.57342295	305.6161109	30.30481665	228.4872672	263.1884449	53.31939327
"Mbe"	282.4555887	128.6701714	117.6844888	317.3586388	48.23895142	34.58599162	163.8396321	31.37457267	296.5204805	20.20616605	14.35524251	160.7137118	36.50870585	87.71822901	14.35524251	142.1596114	200.2117759	338.7456434	14.35524251	111.5383402	106.3341987	44.66005915	0	39.9992035	16.19492108	69.26835761	48.73915503	32.15562049	162.3747554	82.62384881	289.6665368	14.35524251	212.5376931	247.2388708	37.36981913
"Mt. Cameroon"	293.7443072	139.9588899	128.9732073	328.6473573	59.5276699	45.8747101	175.1283506	42.66329116	307.8091989	31.49488453	25.64396099	172.0024302	47.79742433	99.00694749	25.64396099	153.4483299	211.5004943	350.0343618	25.64396099	122.8270586	117.6229172	55.94877764	39.9992035	0	27.48363957	80.55707609	60.02787352	43.44433897	173.6634739	93.91256729	300.9552552	25.64396099	223.8264115	258.5275893	48.65853762
"Mt. Cristal"	269.9400248	116.1546075	105.1689249	304.8430749	35.72338749	22.07042769	151.3240682	18.85900874	284.0049165	7.690602117	1.839678577	148.1981478	23.99314192	75.20266508	1.839678577	129.6440475	187.6962119	326.2300794	1.839678577	99.02277623	93.81863478	32.14449522	16.19492108	27.48363957	0	56.75279368	36.2235911	19.64005656	149.8591915	70.10828488	277.1509728	1.839678577	200.0221291	234.7233069	24.8542552
"Mt. Sangbe"	323.0134613	169.228044	158.2423614	357.9165114	88.79682401	75.14386421	204.3975047	71.93244527	337.0783531	60.76403864	54.9131151	201.2715844	77.06657844	128.2761016	54.9131151	182.717484	240.7696485	379.303516	54.9131151	152.0962128	146.8920713	85.21793175	69.26835761	80.55707609	56.75279368	0	89.29702763	72.71349308	202.932628	123.1817214	330.2244094	54.9131151	253.0955657	287.7967434	77.92769173
"Ngogo"	302.4842587	148.6988414	137.7131588	337.3873088	68.26762144	54.61466164	183.8683022	51.40324269	316.5491505	40.23483607	34.38391253	180.7423818	56.53737587	107.746899	34.38391253	162.1882814	220.2404459	358.7743134	34.38391253	131.5670102	126.3628687	64.68872917	48.73915503	60.02787352	36.2235911	89.29702763	0	52.18429051	182.4034254	102.6525188	309.6952068	34.38391253	232.5663631	267.2675408	57.39848915
"Nyungwe"	285.9007242	132.1153069	121.1296243	320.8037743	51.68408689	38.03112709	167.2847676	34.81970815	299.9656159	23.65130152	17.80037798	164.1588472	39.95384132	91.16336448	17.80037798	145.6047469	203.6569113	342.1907788	17.80037798	114.9834756	109.7793342	48.10519463	32.15562049	43.44433897	19.64005656	72.71349308	52.18429051	0	165.8198909	86.06898428	293.1116722	17.80037798	215.9828285	250.6840063	40.81495461
"Outamba-Kilimi"	416.1198591	262.3344418	251.3487592	451.0229092	181.9032218	168.250262	297.5039025	165.0388431	430.1847509	153.8704364	148.0195129	294.3779822	170.1729762	221.3824994	148.0195129	275.8238818	333.8760463	472.4099138	148.0195129	245.2026106	239.9984691	178.3243295	162.3747554	173.6634739	149.8591915	202.932628	182.4034254	165.8198909	0	216.2881192	423.3308072	148.0195129	346.2019635	380.9031412	171.0340895
"Rubi-Tele"	336.3689525	182.5835352	171.5978526	371.2720026	102.1523152	88.49935541	217.7529959	85.28793647	350.4338443	74.11952984	68.2686063	214.6270756	90.42206964	141.6315928	68.2686063	196.0729752	254.1251397	392.6590072	68.2686063	165.451704	160.2475625	98.57342295	82.62384881	93.91256729	70.10828488	123.1817214	102.6525188	86.06898428	216.2881192	0	343.5799006	68.2686063	266.4510569	301.1522346	91.28318293
"Sangaredi"	543.4116405	389.6262232	378.6405405	578.3146906	309.1950032	295.5420434	424.7956839	292.3306244	557.4765322	281.1622178	275.3112943	421.6697635	297.4647576	348.6742808	275.3112943	403.1156632	461.1678276	599.7016951	275.3112943	372.4943919	367.2902505	305.6161109	289.6665368	300.9552552	277.1509728	330.2244094	309.6952068	293.1116722	423.3308072	343.5799006	0	275.3112943	473.4937448	508.1949226	298.3258709
"Sapo"	268.1003462	114.3149289	103.3292463	303.0033963	33.88370891	20.23074911	149.4843896	17.01933017	282.165238	5.85092354	0	146.3584693	22.15346334	73.3629865	0	127.8043689	185.8565334	324.3904009	0	97.18309765	91.9789562	30.30481665	14.35524251	25.64396099	1.839678577	54.9131151	34.38391253	17.80037798	148.0195129	68.2686063	275.3112943	0	198.1824506	232.8836283	23.01457663
"Sobeya"	466.2827968	312.4973795	301.5116968	501.1858469	232.0661595	218.4131997	347.6668402	215.2017807	480.3476885	204.0333741	198.1824506	344.5409198	220.3359139	271.5454371	198.1824506	325.9868195	384.0389839	522.5728514	198.1824506	295.3655482	290.1614068	228.4872672	212.5376931	223.8264115	200.0221291	253.0955657	232.5663631	215.9828285	346.2019635	266.4510569	473.4937448	198.1824506	0	431.0660789	221.1970272
"Bakoun-Sobory"	500.9839745	347.1985572	336.2128746	535.8870246	266.7673372	253.1143774	382.3680179	249.9029585	515.0488663	238.7345518	232.8836283	379.2420976	255.0370916	306.2466148	232.8836283	360.6879972	418.7401617	557.2740292	232.8836283	330.066726	324.8625845	263.1884449	247.2388708	258.5275893	234.7233069	287.7967434	267.2675408	250.6840063	380.9031412	301.1522346	508.1949226	232.8836283	431.0660789	0	255.8982049
"Tai"	291.1149228	137.3295055	126.3438229	326.0179729	56.89828554	43.24532574	172.4989663	40.03390679	305.1798146	28.86550017	23.01457663	169.3730459	45.16803997	96.37756313	23.01457663	150.8189455	208.87111	347.4049775	23.01457663	120.1976743	114.9935328	53.31939327	37.36981913	48.65853762	24.8542552	77.92769173	57.39848915	40.81495461	171.0340895	91.28318293	298.3258709	23.01457663	221.1970272	255.8982049	0
