"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"Bafing"	NA	20	1	15	10	20	18	20	12	16	16	20	20	20	13	20	3	12	16	20	20	20	20	20	12	17	12	12	20	19	17	20	12	14	20
"Bateke"	20	NA	1	15	10	23	18	23	12	16	16	23	23	23	13	23	3	12	16	23	23	23	20	23	12	17	12	12	23	19	17	20	12	14	23
"Bili-Uele"	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Boe"	15	15	1	NA	10	15	15	15	12	15	15	15	15	15	13	15	3	12	15	15	15	15	15	15	12	15	12	12	15	15	15	15	12	14	15
"Budongo"	10	10	1	10	NA	10	10	10	10	10	10	10	10	10	10	10	3	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"Bwindi"	20	23	1	15	10	NA	18	24	12	16	16	32	32	32	13	32	3	12	16	32	32	32	20	30	12	17	12	12	27	19	17	20	12	14	32
"Comoe"	18	18	1	15	10	18	NA	18	12	16	16	18	18	18	13	18	3	12	16	18	18	18	18	18	12	17	12	12	18	18	17	18	12	14	18
"Conkouati"	20	23	1	15	10	24	18	NA	12	16	16	24	24	24	13	24	3	12	16	24	24	24	20	24	12	17	12	12	24	19	17	20	12	14	24
"Dindefelo"	12	12	1	12	10	12	12	12	NA	12	12	12	12	12	12	12	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
"Djouroutou"	16	16	1	15	10	16	16	16	12	NA	16	16	16	16	13	16	3	12	16	16	16	16	16	16	12	16	12	12	16	16	16	16	12	14	16
"East Nimba"	16	16	1	15	10	16	16	16	12	16	NA	16	16	16	13	16	3	12	16	16	16	16	16	16	12	16	12	12	16	16	16	16	12	14	16
"Gashaka"	20	23	1	15	10	32	18	24	12	16	16	NA	100	180	13	208	3	12	16	51	156	217	20	30	12	17	12	12	27	19	17	20	12	14	204
"Gishwati"	20	23	1	15	10	32	18	24	12	16	16	100	NA	100	13	100	3	12	16	51	100	100	20	30	12	17	12	12	27	19	17	20	12	14	100
"Goualougo"	20	23	1	15	10	32	18	24	12	16	16	180	100	NA	13	180	3	12	16	51	156	180	20	30	12	17	12	12	27	19	17	20	12	14	180
"Grebo"	13	13	1	13	10	13	13	13	12	13	13	13	13	13	NA	13	3	12	13	13	13	13	13	13	12	13	12	12	13	13	13	13	12	13	13
"Issa-Ugalla"	20	23	1	15	10	32	18	24	12	16	16	208	100	180	13	NA	3	12	16	51	156	208	20	30	12	17	12	12	27	19	17	20	12	14	204
"Kabogo"	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
"Kayan"	12	12	1	12	10	12	12	12	12	12	12	12	12	12	12	12	3	NA	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
"Korup"	16	16	1	15	10	16	16	16	12	16	16	16	16	16	13	16	3	12	NA	16	16	16	16	16	12	16	12	12	16	16	16	16	12	14	16
"La Belgique"	20	23	1	15	10	32	18	24	12	16	16	51	51	51	13	51	3	12	16	NA	51	51	20	30	12	17	12	12	27	19	17	20	12	14	51
"Loango"	20	23	1	15	10	32	18	24	12	16	16	156	100	156	13	156	3	12	16	51	NA	156	20	30	12	17	12	12	27	19	17	20	12	14	156
"Lope"	20	23	1	15	10	32	18	24	12	16	16	217	100	180	13	208	3	12	16	51	156	NA	20	30	12	17	12	12	27	19	17	20	12	14	204
"Mbe"	20	20	1	15	10	20	18	20	12	16	16	20	20	20	13	20	3	12	16	20	20	20	NA	20	12	17	12	12	20	19	17	20	12	14	20
"Mt. Cameroon"	20	23	1	15	10	30	18	24	12	16	16	30	30	30	13	30	3	12	16	30	30	30	20	NA	12	17	12	12	27	19	17	20	12	14	30
"Mt. Cristal"	12	12	1	12	10	12	12	12	12	12	12	12	12	12	12	12	3	12	12	12	12	12	12	12	NA	12	12	12	12	12	12	12	12	12	12
"Mt. Sangbe"	17	17	1	15	10	17	17	17	12	16	16	17	17	17	13	17	3	12	16	17	17	17	17	17	12	NA	12	12	17	17	17	17	12	14	17
"Ngogo"	12	12	1	12	10	12	12	12	12	12	12	12	12	12	12	12	3	12	12	12	12	12	12	12	12	12	NA	12	12	12	12	12	12	12	12
"Nyungwe"	12	12	1	12	10	12	12	12	12	12	12	12	12	12	12	12	3	12	12	12	12	12	12	12	12	12	12	NA	12	12	12	12	12	12	12
"Outamba-Kilimi"	20	23	1	15	10	27	18	24	12	16	16	27	27	27	13	27	3	12	16	27	27	27	20	27	12	17	12	12	NA	19	17	20	12	14	27
"Rubi-Tele"	19	19	1	15	10	19	18	19	12	16	16	19	19	19	13	19	3	12	16	19	19	19	19	19	12	17	12	12	19	NA	17	19	12	14	19
