"site1"	"site2"	"dyad_ID"	"ibd_binary"	"ibd_source_fontsere_etal_2022"
"1"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	1	"tableS9"
"2"	"Conkouati"	"Bakoun-Sobory"	"Bakoun-Sobory_Conkouati"	0	"0"
"3"	"Goualougo"	"Bakoun-Sobory"	"Bakoun-Sobory_Goualougo"	0	"0"
"4"	"Kabogo"	"Bakoun-Sobory"	"Bakoun-Sobory_Kabogo"	0	"0"
"5"	"Sobeya"	"Bakoun-Sobory"	"Bakoun-Sobory_Sobeya"	1	"tableS9"
"6"	"Sangaredi"	"Bakoun-Sobory"	"Bakoun-Sobory_Sangaredi"	1	"tableS9"
"7"	"Korup"	"Bakoun-Sobory"	"Bakoun-Sobory_Korup"	0	"0"
"8"	"Djouroutou"	"Bakoun-Sobory"	"Bakoun-Sobory_Djouroutou"	1	"tableS9"
"9"	"La Belgique"	"Bakoun-Sobory"	"Bakoun-Sobory_La Belgique"	0	"0"
"10"	"Boe"	"Bakoun-Sobory"	"Bakoun-Sobory_Boe"	1	"tableS9"
"11"	"Loango"	"Bakoun-Sobory"	"Bakoun-Sobory_Loango"	0	"0"
"12"	"Kayan"	"Bakoun-Sobory"	"Bakoun-Sobory_Kayan"	1	"tableS9"
"13"	"Lope"	"Bakoun-Sobory"	"Bakoun-Sobory_Lope"	0	"0"
"14"	"Bwindi"	"Bakoun-Sobory"	"Bakoun-Sobory_Bwindi"	0	"0"
"15"	"Mt. Sangbe"	"Bakoun-Sobory"	"Bakoun-Sobory_Mt. Sangbe"	0	"0"
"16"	"Mbe"	"Bakoun-Sobory"	"Bakoun-Sobory_Mbe"	0	"0"
"17"	"Sapo"	"Bakoun-Sobory"	"Bakoun-Sobory_Sapo"	1	"tableS9"
"18"	"Issa-Ugalla"	"Bakoun-Sobory"	"Bakoun-Sobory_Issa-Ugalla"	0	"0"
"19"	"Mt. Cristal"	"Bakoun-Sobory"	"Bakoun-Sobory_Mt. Cristal"	0	"0"
"20"	"Dindefelo"	"Bakoun-Sobory"	"Bakoun-Sobory_Dindefelo"	1	"tableS9"
"21"	"Gashaka"	"Bakoun-Sobory"	"Bakoun-Sobory_Gashaka"	0	"0"
"22"	"Bateke"	"Bakoun-Sobory"	"Bakoun-Sobory_Bateke"	0	"0"
"23"	"East Nimba"	"Bakoun-Sobory"	"Bakoun-Sobory_East Nimba"	1	"tableS9"
"24"	"Nyungwe"	"Bakoun-Sobory"	"Bakoun-Sobory_Nyungwe"	0	"0"
"25"	"Budongo"	"Bakoun-Sobory"	"Bakoun-Sobory_Budongo"	0	"0"
"26"	"Grebo"	"Bakoun-Sobory"	"Bakoun-Sobory_Grebo"	1	"tableS9"
"27"	"Outamba-Kilimi"	"Bakoun-Sobory"	"Bakoun-Sobory_Outamba-Kilimi"	NA	"0"
"28"	"Comoe"	"Bakoun-Sobory"	"Bakoun-Sobory_Comoe"	1	"tableS9"
"29"	"Gishwati"	"Bakoun-Sobory"	"Bakoun-Sobory_Gishwati"	0	"0"
"30"	"Ngogo"	"Bakoun-Sobory"	"Bakoun-Sobory_Ngogo"	0	"0"
"31"	"Mt. Cameroon"	"Bakoun-Sobory"	"Bakoun-Sobory_Mt. Cameroon"	0	"0"
"32"	"Rubi-Tele"	"Bakoun-Sobory"	"Bakoun-Sobory_Rubi-Tele"	0	"0"
"33"	"Bili-Uele"	"Bakoun-Sobory"	"Bakoun-Sobory_Bili-Uele"	0	"0"
"34"	"Bafing"	"Bateke"	"Bafing_Bateke"	0	"0"
"35"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	0	"0"
