"site1"	"site2"	"dyad_ID"	"nepra_proportion"
"1"	"Bafing"	"Bateke"	"Bafing_Bateke"	1.39235204229037e-05
"2"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	4.65430929508862e-05
"3"	"Bafing"	"Boe"	"Bafing_Boe"	0.00210991230810711
"4"	"Bafing"	"Budongo"	"Bafing_Budongo"	8.03822335972014e-05
"5"	"Bafing"	"Bwindi"	"Bafing_Bwindi"	7.29116182519225e-05
"6"	"Bafing"	"Comoe"	"Bafing_Comoe"	0.00147946084724005
"7"	"Bafing"	"Conkouati"	"Bafing_Conkouati"	0.000131749765421149
"8"	"Bafing"	"Dindefelo"	"Bafing_Dindefelo"	0.00167176770144801
"9"	"Bafing"	"Djouroutou"	"Bafing_Djouroutou"	0.000537075965098656
"10"	"Bafing"	"East Nimba"	"Bafing_East Nimba"	0.00104503948878724
"11"	"Bafing"	"Gashaka"	"Bafing_Gashaka"	0.000236461002658849
"12"	"Bafing"	"Gishwati"	"Bafing_Gishwati"	0.000103898329593351
"13"	"Bafing"	"Goualougo"	"Bafing_Goualougo"	7.19348763901146e-05
"14"	"Bafing"	"Grebo"	"Bafing_Grebo"	0.00141759291652892
"15"	"Bafing"	"Issa-Ugalla"	"Bafing_Issa-Ugalla"	0.000165871375844205
"16"	"Bafing"	"Kabogo"	"Bafing_Kabogo"	2.17698922390334e-05
"17"	"Bafing"	"Kayan"	"Bafing_Kayan"	0.00216972189471927
"18"	"Bafing"	"Korup"	"Bafing_Korup"	6.55620711595673e-05
"19"	"Bafing"	"La Belgique"	"Bafing_La Belgique"	1.4711326986213e-05
"20"	"Bafing"	"Loango"	"Bafing_Loango"	0.000119003075854276
"21"	"Bafing"	"Lope"	"Bafing_Lope"	3.66830337732061e-05
"22"	"Bafing"	"Mbe"	"Bafing_Mbe"	8.89952543012586e-05
"23"	"Bafing"	"Mt. Cameroon"	"Bafing_Mt. Cameroon"	9.38443942637614e-06
"24"	"Bafing"	"Mt. Sangbe"	"Bafing_Mt. Sangbe"	0.00040236413198838
"25"	"Bafing"	"Mt. Cristal"	"Bafing_Mt. Cristal"	0.000128542690098571
"26"	"Bafing"	"Ngogo"	"Bafing_Ngogo"	0.000233205712042294
"27"	"Bafing"	"Nyungwe"	"Bafing_Nyungwe"	0.000108168893410801
"28"	"Bafing"	"Outamba-Kilimi"	"Bafing_Outamba-Kilimi"	0.00044591196610199
"29"	"Bafing"	"Rubi-Tele"	"Bafing_Rubi-Tele"	4.01565889907998e-05
"30"	"Bafing"	"Sangaredi"	"Bafing_Sangaredi"	0.00116140652555899
"31"	"Bafing"	"Sapo"	"Bafing_Sapo"	0.00101030424713069
"32"	"Bafing"	"Sobeya"	"Bafing_Sobeya"	0.00157569996617383
"33"	"Bafing"	"Bakoun-Sobory"	"Bafing_Bakoun-Sobory"	0.00247994008772868
"34"	"Bafing"	"Tai"	"Bafing_Tai"	0.00101083759245041
"35"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	8.46553483625568e-05
"36"	"Bateke"	"Boe"	"Bateke_Boe"	2.99715961488804e-05
"37"	"Bateke"	"Budongo"	"Bateke_Budongo"	0.00013607968272676
"38"	"Bateke"	"Bwindi"	"Bateke_Bwindi"	0.000152270386063107
"39"	"Bateke"	"Comoe"	"Bateke_Comoe"	4.95669234156452e-05
"40"	"Bateke"	"Conkouati"	"Bateke_Conkouati"	0.00307835627304444
"41"	"Bateke"	"Dindefelo"	"Bateke_Dindefelo"	1.73058485692101e-05
"42"	"Bateke"	"Djouroutou"	"Bateke_Djouroutou"	9.24265670924451e-06
"43"	"Bateke"	"East Nimba"	"Bateke_East Nimba"	2.19143954510329e-05
"44"	"Bateke"	"Gashaka"	"Bateke_Gashaka"	0.00032848027735261
"45"	"Bateke"	"Gishwati"	"Bateke_Gishwati"	0.000129150100091328
"46"	"Bateke"	"Goualougo"	"Bateke_Goualougo"	0.00091649929588845
"47"	"Bateke"	"Grebo"	"Bateke_Grebo"	4.38017624445994e-05
"48"	"Bateke"	"Issa-Ugalla"	"Bateke_Issa-Ugalla"	0.000213236328093483
"49"	"Bateke"	"Kabogo"	"Bateke_Kabogo"	6.7028947974568e-05
"50"	"Bateke"	"Kayan"	"Bateke_Kayan"	5.99425013083604e-05
"51"	"Bateke"	"Korup"	"Bateke_Korup"	9.5869525041582e-05
