site1;site2;neprasimilarity
Bafing;Bakoun-Sobory;0.00247994
Bafing;Bateke;1.39E-05
Bafing;Bili-Uele;4.65E-05
Bafing;Boe;0.002109912
Bafing;Budongo;8.04E-05
Bafing;Bwindi;7.29E-05
Bafing;Comoe;0.001479461
Bafing;Conkouati;0.00013175
Bafing;Dindefelo;0.001671768
Bafing;Djouroutou;0.000537076
Bafing;East Nimba;0.001045039
Bafing;Gashaka;0.000236461
Bafing;Gishwati;0.000103898
Bafing;Goualougo;7.19E-05
Bafing;Grebo;0.001417593
Bafing;Issa-Ugalla;0.000165871
Bafing;Kabogo;2.18E-05
Bafing;Kayan;0.002169722
Bafing;Korup;6.56E-05
Bafing;La Belgique;1.47E-05
Bafing;Loango;0.000119003
Bafing;Lope;3.67E-05
Bafing;Mbe;8.90E-05
Bafing;Mt. Cameroon;9.38E-06
Bafing;Mt. Cristal;0.000128543
Bafing;Mt. Sangbe;0.000402364
Bafing;Ngogo;0.000233206
Bafing;Nyungwe;0.000108169
Bafing;Outamba-Kilimi;0.000445912
Bafing;Rubi-Tele;4.02E-05
Bafing;Sangaredi;0.001161407
Bafing;Sapo;0.001010304
Bafing;Sobeya;0.0015757
Bafing;Tai;0.001010838
Bateke;Bakoun-Sobory;3.80E-05
Bili-Uele;Bakoun-Sobory;0.000174391
Boe;Bakoun-Sobory;0.007546747
Budongo;Bakoun-Sobory;0.000487298
Bwindi;Bakoun-Sobory;0.000407682
Comoe;Bakoun-Sobory;0.006922572
Conkouati;Bakoun-Sobory;0.001166446
Dindefelo;Bakoun-Sobory;0.004389554
Djouroutou;Bakoun-Sobory;0.002066116
East Nimba;Bakoun-Sobory;0.003545594
Gashaka;Bakoun-Sobory;0.002049795
Gishwati;Bakoun-Sobory;0.000573907
Goualougo;Bakoun-Sobory;0.00036778
Grebo;Bakoun-Sobory;0.006961073
Issa-Ugalla;Bakoun-Sobory;0.001865929
Kabogo;Bakoun-Sobory;8.49E-05
Kayan;Bakoun-Sobory;0.007289108
Korup;Bakoun-Sobory;0.000555256
La Belgique;Bakoun-Sobory;4.62E-05
