;Algae fishing;Ant dipping;Ant fishing;Honey above-ground;Honey underground ;Leaf sponge;Marrow pick;Termite fishing;Water dipping
Bafing;0;0;0;0;0;0;0;1;0
Bakoun-Sobory;1;1;0;0;0;0;0;1;0
Bateke;0;0;0;1;0;0;0;1;0
Bili-Uele;0;1;1;1;1;0;0;0;0
Boe;0;1;0;1;0;0;0;0;0
Budongo;0;1;0;0;0;1;0;0;0
Bwindi;0;0;0;1;0;0;0;0;0
Comoe;0;1;0;1;0;1;0;1;1
Conkouati;0;0;0;1;0;0;0;0;0
Dindefelo;1;1;0;0;0;0;0;1;0
Djouroutou;0;0;0;0;0;0;0;0;0
East Nimba;0;0;0;0;0;0;0;0;0
Gashaka;0;1;1;1;0;0;0;0;0
Gishwati;0;0;0;0;0;0;0;0;0
Goualougo;0;1;0;1;0;1;1;1;1
Grebo;0;0;0;0;0;0;0;0;0
Issa-Ugalla;0;0;1;0;0;0;0;1;0
Kabogo;0;0;0;0;0;0;0;0;0
Kayan;0;0;0;0;0;0;0;1;0
Korup;0;0;1;0;0;0;0;1;0
La Belgique;0;0;0;0;1;0;0;1;0
Loango;0;0;0;1;0;1;0;0;0
Lope;0;0;1;1;0;1;0;0;0
Mbe;0;0;0;0;0;0;0;0;0
Mt. Cameroon;0;0;0;0;0;0;0;1;0
Mt. Cristal;0;0;0;0;0;0;0;1;0
Mt. Sangbe;0;0;0;0;0;0;0;0;0
Ngogo;0;0;0;1;0;1;0;1;1
Nyungwe;0;0;0;1;1;0;0;0;0
Outamba-Kilimi;0;0;0;0;0;0;0;0;0
Rubi-Tele;0;0;1;0;0;0;0;0;0
Sangaredi;1;1;0;0;0;0;0;0;0
Sapo;0;0;0;0;0;0;0;0;0
Sobeya;1;0;0;0;0;0;0;1;0
Tai;0;1;0;1;0;1;1;0;0
