links,weighted,newman,ycn,probs,unweighted
"('Bafing', 'La Belgique')",5,23,100,39,1
"('Bafing', 'Dindefelo')",5,23,73,46,1
"('Bafing', 'Korup')",5,23,96,39,1
"('Bafing', 'Kayan')",5,23,114,25,1
"('Bafing', 'Comoe')",5,23,48,54,1
"('Bafing', 'Sobeya')",5,23,98,39,1
"('Bafing', 'Mt. Cristal')",5,23,113,25,1
"('Bafing', 'Bakoun-Sobory')",5,23,72,46,1
"('Bafing', 'Mt. Cameroon')",5,23,113,25,1
"('Bafing', 'Ngogo')",5,23,61,51,1
"('Bafing', 'Goualougo')",5,23,38,56,1
"('Bafing', 'Bateke')",5,23,95,39,1
"('Bafing', 'Issa-Ugalla')",5,23,96,39,1
"('Bakoun-Sobory', 'La Belgique')",5,23,108,65,1
"('Bakoun-Sobory', 'Dindefelo')",3,5,6,6,1
"('Bakoun-Sobory', 'Comoe')",4,18,45,49,1
"('Bakoun-Sobory', 'Bili-Uele')",5,21,81,66,1
"('Bakoun-Sobory', 'Budongo')",5,21,78,55,1
"('Bakoun-Sobory', 'Ngogo')",5,23,111,74,1
"('Bakoun-Sobory', 'Boe')",5,21,77,55,1
"('Bakoun-Sobory', 'Sangaredi')",4,7,9,4,1
"('Bakoun-Sobory', 'Gashaka')",5,21,85,63,1
"('Bakoun-Sobory', 'Sobeya')",4,8,14,7,1
"('Bakoun-Sobory', 'Tai')",5,21,80,66,1
"('Bakoun-Sobory', 'Mt. Cristal')",5,23,72,46,1
"('Bakoun-Sobory', 'Mt. Cameroon')",5,23,72,46,1
"('Bakoun-Sobory', 'Goualougo')",4,18,41,54,1
"('Bakoun-Sobory', 'Korup')",5,23,106,65,1
"('Bakoun-Sobory', 'Bateke')",5,23,106,65,1
"('Bakoun-Sobory', 'Issa-Ugalla')",5,23,106,65,1
"('Bakoun-Sobory', 'Kayan')",5,23,73,46,1
"('Bateke', 'La Belgique')",5,23,115,61,1
"('Bateke', 'Dindefelo')",5,23,106,65,1
"('Bateke', 'Comoe')",4,20,40,40,1
"('Bateke', 'Bili-Uele')",5,22,92,67,1
"('Bateke', 'Ngogo')",4,20,49,36,1
"('Bateke', 'Conkouati')",5,22,89,35,1
"('Bateke', 'Boe')",5,22,109,58,1
"('Bateke', 'Gashaka')",5,22,103,64,1
"('Bateke', 'Nyungwe')",5,22,109,58,1
"('Bateke', 'Loango')",5,22,109,58,1
"('Bateke', 'Bwindi')",5,22,90,35,1
"('Bateke', 'Sobeya')",5,23,114,61,1
"('Bateke', 'Tai')",5,22,91,67,1
"('Bateke', 'Mt. Cristal')",5,23,95,39,1
"('Bateke', 'Mt. Cameroon')",5,23,95,39,1
"('Bateke', 'Goualougo')",4,20,29,44,1
"('Bateke', 'Korup')",5,23,113,61,1
"('Bateke', 'Issa-Ugalla')",5,23,113,61,1
"('Bateke', 'Kayan')",5,23,95,39,1
"('Bateke', 'Lope')",5,22,102,64,1
"('Bili-Uele', 'La Belgique')",5,6,7,10,1
"('Bili-Uele', 'Dindefelo')",5,21,81,66,1
"('Bili-Uele', 'Comoe')",4,17,51,57,1
"('Bili-Uele', 'Budongo')",5,21,70,59,1
"('Bili-Uele', 'Ngogo')",5,22,110,75,1
"('Bili-Uele', 'Conkouati')",5,22,59,45,1
"('Bili-Uele', 'Boe')",4,17,36,28,1
"('Bili-Uele', 'Sangaredi')",5,21,69,59,1
"('Bili-Uele', 'Rubi-Tele')",5,16,12,13,1
"('Bili-Uele', 'Gashaka')",3,9,11,14,1
"('Bili-Uele', 'Nyungwe')",4,4,5,3,1
"('Bili-Uele', 'Loango')",5,22,94,67,1
"('Bili-Uele', 'Bwindi')",5,22,59,45,1
"('Bili-Uele', 'Tai')",4,17,55,52,1
"('Bili-Uele', 'Goualougo')",4,17,47,60,1
"('Bili-Uele', 'Korup')",5,16,42,30,1
"('Bili-Uele', 'Issa-Ugalla')",5,16,42,30,1
"('Bili-Uele', 'Lope')",4,12,26,26,1
"('Boe', 'Sangaredi')",5,21,84,43,1
